xcoordinaat;ycoordinaat;afstand;Topo;ZN zuid oost NAP;ZN west NAP;ZN midden NAP;ZD zuid NAP;ZD zeetoegangsgeul Rotterdam NAP;ZD zeetoegangsgeul IJmuiden NAP;ZD Noordzee NAP;ZD noord NAP;WNZ zuid NAP;WNZ noord NAP;WNN n NAP;ON zuid NAP;ON oost NAP;ON noord NAP;NN waddenzee NAP;NN lemmer delfzijl nNAP;MN zuid NAP;MN noord NAP;bodemhoogte 1 meter index
193916.216;442073.530;24.566;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.167;NoData;NoData;NoData;NoData;NoData
193916.867;442073.079;25.358;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.274;NoData;NoData;NoData;NoData;NoData
193917.519;442072.627;26.151;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.343;NoData;NoData;NoData;NoData;NoData
193918.170;442072.176;26.943;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.377;NoData;NoData;NoData;NoData;NoData
193918.821;442071.724;27.736;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.416;NoData;NoData;NoData;NoData;NoData
193919.472;442071.273;28.528;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.416;NoData;NoData;NoData;NoData;NoData
193920.123;442070.821;29.320;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.487;NoData;NoData;NoData;NoData;NoData
193920.775;442070.370;30.113;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.530;NoData;NoData;NoData;NoData;NoData
193921.426;442069.918;30.905;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.554;NoData;NoData;NoData;NoData;NoData
193922.077;442069.467;31.698;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.585;NoData;NoData;NoData;NoData;NoData
193922.728;442069.015;32.490;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.642;NoData;NoData;NoData;NoData;NoData
193923.380;442068.564;33.283;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.642;NoData;NoData;NoData;NoData;NoData
193924.031;442068.112;34.075;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.675;NoData;NoData;NoData;NoData;NoData
193924.682;442067.661;34.868;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.700;NoData;NoData;NoData;NoData;NoData
193925.333;442067.209;35.660;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.720;NoData;NoData;NoData;NoData;NoData
193925.985;442066.757;36.452;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.748;NoData;NoData;NoData;NoData;NoData
193926.636;442066.306;37.245;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.774;NoData;NoData;NoData;NoData;NoData
193927.287;442065.854;38.037;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.782;NoData;NoData;NoData;NoData;NoData
193927.938;442065.403;38.830;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.806;NoData;NoData;NoData;NoData;NoData
193928.590;442064.951;39.622;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.778;NoData;NoData;NoData;NoData;NoData
193929.241;442064.500;40.415;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.778;NoData;NoData;NoData;NoData;NoData
193929.892;442064.048;41.207;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.780;NoData;NoData;NoData;NoData;NoData
193930.543;442063.597;42.000;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.775;NoData;NoData;NoData;NoData;NoData
193931.194;442063.145;42.792;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.771;NoData;NoData;NoData;NoData;NoData
193931.846;442062.694;43.584;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.772;NoData;NoData;NoData;NoData;NoData
193932.497;442062.242;44.377;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.792;NoData;NoData;NoData;NoData;NoData
193933.148;442061.791;45.169;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.792;NoData;NoData;NoData;NoData;NoData
