xcoordinaat;ycoordinaat;afstand;Topo;ZN zuid oost NAP;ZN west NAP;ZN midden NAP;ZD zuid NAP;ZD zeetoegangsgeul Rotterdam NAP;ZD zeetoegangsgeul IJmuiden NAP;ZD Noordzee NAP;ZD noord NAP;WNZ zuid NAP;WNZ noord NAP;WNN n NAP;ON zuid NAP;ON oost NAP;ON noord NAP;NN waddenzee NAP;NN lemmer delfzijl nNAP;MN zuid NAP;MN noord NAP;bodemhoogte 1 meter index
200608.647;431393.337;168.993;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.834;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200610.866;431398.316;174.444;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.805;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200613.084;431403.296;179.896;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.714;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200615.302;431408.276;185.347;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.614;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200617.521;431413.255;190.799;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.546;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200619.739;431418.235;196.250;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.524;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200621.957;431423.215;201.701;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.448;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200624.176;431428.194;207.153;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.396;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200626.394;431433.174;212.604;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.381;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200628.612;431438.153;218.056;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.330;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200630.831;431443.133;223.507;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.238;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200633.049;431448.113;228.958;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.201;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200635.267;431453.092;234.410;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.132;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200637.485;431458.072;239.861;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.050;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200639.704;431463.052;245.313;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.979;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200641.922;431468.031;250.764;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.924;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200644.140;431473.011;256.215;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.820;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200646.359;431477.990;261.667;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.745;NoData;NoData;NoData;NoData;NoData;NoData;NoData
